Pseudo-identification types
---------------------------
There are five tiers of pseudo-ID, which determine how likely it is to activate.
Heavy sense inscribes items with 'average', 'excellent', 'terrible', etc.
Light sense inscribes all good+ items with 'uncursed' and leaves average items unlabeled.
Accessory sensing has only one type, but some classes are incapable of it at all.

With the Unlucky Black Aura mutation:
1/13 chance of a sense inscription being inverted (e.g 'excellent' becomes 'worthless')
With the Lucky White Aura mutation:
1/13 chance of a light sense becoming a heavy sense

Effects of Magicmaster flag (MM)
--------------------------------
Minimum spell failure rate is 0% (5% normally)
Minimum spell failure rate in Berserk personality is 20% (30% normally)
Spell level requirement lowered by 2
Can use Barrier Guard with Ctrl+g (mana shield effect, see help files for details)
Can use Staff of Mana Storm without taking self-damage
Higher chance of bolt attacks becoming beams
Lower chance of destroying items on recharge failure, will not destroy stacks of wands
Better resistance to magic item draining attacks
Prevents friendlies from accidentally melee attacking each other, including the player
Increases activation failure rate of Oni/Werebeast racial berserk rage powers
Directly improves the effects of the following spells:
	Shuffle, Wind Cutter, Mana Burst, Incite Possession,
	Oil Eruption, Smash Armor, Hell Lance, Holy Orb, Curse of Azathoth

Grassroots Youkai Network eligibility (GN)
------------------------------------------
All standard classes are eligible for the Grassroots Network (marked **)
However, the player must be one of the following races:
	Youkai, Fairy, Magician, Werebeast, Tsukumogami, Youkai-Doll, Fox, 
	Bakedanuki, Mermaid, Nyuudou, Koakuma, Golem, Jiangshi, or Ghost.

EX Score
--------
Some classes have an altered score multiplier in EXTRA difficulty.
Internally, this is treated as a modifier of the base score.
e.g. 90 to 99 is *1.1, 240 to 192 is *0.8

Hit Dice (HD), Mana Rate (MP)
-----------------------------
Hit dice are the basic component of player HP calculation. Higher = more HP per level.
For standard classes, class HD is added to race HD. For character-classes, they are pre-combined here.
Life rate modifies the effect of hit dice. HP from CON is a flat bonus per level added on top.

There are five grades of mana rate. Higher = more MP per level/WIS.
Classes with MP grade E do not benefit from MP increasing ability cards.

Pet Divider (PD)
----------------
Divisor of player level mitigation when calculating follower upkeep. Lower = less MP upkeep.
Several races/classes also treat appropriate follower types as having a lower level, lessening upkeep.

Attacks per round (APR)
-----------------------
The maximum number of melee weapon attacks a class can naturally achieve.
Extra attacks from enchantments, short blades skill, special class effects etc. are added on top.
This does not affect unarmed attacks, where the maximum is derived from martial arts skill.

Martial arts aptitude (FA)
--------------------------
+ indicates a unique martial arts style, ! indicates a unique style during a temporary effect.
Many classes have unusual distributions of generic attacks, which are not noted here.
Extra attacks granted by race, mutations, or common spells are not noted here either.

---------------------------------------------------------------------------------------------------------------------------------
Class			|	Arms/armour sense	|	Accessory	|	MM	|	GN	| Score	| EX Sc	|	HD	|	MP	|	PD	|	APR	|	FA	|
---------------------------------------------------------------------------------------------------------------------------------
 Alice			|	B: Medium, Heavy	|	A: Fast		|	Yes	|	Yes	|	48	|	48	|	12	|	B	|	20	|	**	|	D	|
 Aunn			|	D: Slow, Light		|	C: Slow		|	No	|	No	|	60	|	60	|	17	|	C	|	60	|	4	|	B	|
 Aya			|	B: Medium, Heavy	|	B: Medium	|	No	|	No	|	38	|	38	|	15	|	B	|	50	|	6	|	B+	|
Beekeeper		|	C: Slow, Heavy		|	C: Slow		|	No	|	**	|	85	|	85	|	+3	|	C	|	40	|	4	|	D	|
 Benben			|	B: Medium, Heavy	|	C: Slow		|	No	|	Yes	|	56	|	56	|	14	|	B	|	70	|	4	|	B!	|
 Biten			|	D: Slow, Light		|	D: V. slow	|	No	|	No	|	55	|	55	|	14	|	C	|	40	|	5	|	C	|
 Byakuren		|	C: Slow, Heavy		|	A: Fast		|	Yes	|	No	|	22	|	22	|	8	|	B	|	30	|	5	|	A!	|
Card-Trader		|	D: Slow, Light		|	B: Medium	|	No	|	**	|	70	|	70	|	+2	|	C	|	75	|	4	|	D	|
Cavalry			|	A: Fast, Heavy		|	E: None!	|	No	|	**	|	90	|	99	|	+5	|	E	|	35	|	5	|	E	|
Chemist			|	C: Slow, Heavy		|	B: Medium	|	No	|	**	|	100	|	150	|	+3	|	C	|	60	|	4	|	C	|
 Chen			|	D: Slow, Light		|	C: Slow		|	No	|	No	|	105	|	131	|	14	|	D	|	50	|	4	|	B+	|
 Chimata		|	A: Fast, Heavy		|	A: Fast		|	No	|	No	|	20	|	40	|	12	|	C	|	70	|	3	|	E	|
 Chiyari		|	C: Slow, Heavy		|	B: Medium	|	No	|	No	|	50	|	50	|	16	|	B	|	60	|	4	|	C	|
 Cirno			|	E: V. slow, Light	|	E: None!	|	No	|	Yes	|	150	|	150	|	12	|	B	|	50	|	5	|	B+	|
Civilian		|	D: Slow, Light		|	E: None!	|	No	|	**	|	150	|	150	|	+3	|	D	|	80	|	4	|	C	|
 Clownpiece		|	E: V. slow, Light	|	C: Slow		|	No	|	No	|	150	|	60	|	**	|	C	|	20	|	6	|	D	|
Danmakulogist	|	E: V. slow, Light	|	B: Medium	|	Yes	|	**	|	70	|	70	|	+1	|	C	|	30	|	3	|	D	|
 Doremy			|	C: Slow, Heavy		|	B: Medium	|	Yes	|	No	|	45	|	68	|	14	|	D	|	30	|	4	|	C+	|
 Eika			|	E: V. slow, Light	|	C: Slow		|	No	|	Yes	|	195	|	195	|	13	|	C	|	30	|	3	|	E	|
 Eirin			|	A: Fast, Heavy		|	A: Fast		|	Yes	|	No	|	50	|	50	|	17	|	E	|	15	|	5	|	C	|
Engineer		|	B: Medium, Heavy	|	E: None!	|	No	|	**	|	82	|	123	|	+2	|	B	|	80	|	4	|	C	|
 Enoko			|	C: Slow, Heavy		|	D: V. slow	|	No	|	No	|	60	|	60	|	19	|	C	|	40	|	3	|	B+	|
 Eternitylarva	|	E: V. slow, Light	|	D: V. slow	|	No	|	Yes	|	270	|	270	|	9	|	B	|	60	|	3	|	D	|
Explorer		|	B: Medium, Heavy	|	B: Medium	|	No	|	**	|	85	|	85	|	+4	|	C	|	55	|	5	|	C	|
 Flandre		|	D: Slow, Light		|	D: V. slow	|	Yes	|	No	|	16	|	16	|	23	|	B	|	100	|	6	|	C	|
 Futo			|	E: V. slow, Light	|	B: Medium	|	Yes	|	No	|	60	|	60	|	13	|	B	|	55	|	3	|	B+	|
 Greater-Fairy	|	E: V. slow, Light	|	C: Slow		|	No	|	Yes	|	280	|	280	|	10	|	C	|	50	|	3	|	D	|
Guardian		|	B: Medium, Heavy	|	C: Slow		|	No	|	**	|	75	|	75	|	+8	|	C	|	40	|	5	|	D	|
 Hatate			|	C: Slow, Heavy		|	B: Medium	|	No	|	No	|	47	|	47	|	15	|	B	|	75	|	4	|	D	|
 Hecatia		|	B: Medium, Heavy	|	A: Fast		|	Yes	|	No	|	6	|	6	|	19	|	A	|	20	|	5	|	C	|
High-Mage		|	E: V. slow, Light	|	A: Fast		|	Yes	|	**	|	90	|	108	|	+0	|	A	|	25	|	3	|	E	|
 Hina			|	B: Medium, Heavy	|	B: Medium	|	No	|	No	|	125	|	200	|	17	|	C	|	100	|	3	|	C+	|
 Hisami			|	C: Slow, Heavy		|	B: Medium	|	Yes	|	No	|	45	|	45	|	16	|	B	|	60	|	3	|	E	|
 Ichirin		|	D: Slow, Light		|	C: Slow		|	No	|	No	|	67	|	67	|	14	|	C	|	70	|	3	|	B+	|
 Iku			|	A: Fast, Heavy		|	A: Fast		|	No	|	No	|	65	|	65	|	15	|	C	|	50	|	5	|	B+	|
Jeweler			|	B: Medium, Heavy	|	A: Fast		|	Yes	|	**	|	75	|	120	|	+1	|	B	|	45	|	4	|	E	|
 Jyoon			|	B: Medium, Heavy	|	B: Medium	|	No	|	No	|	35	|	35	|	18	|	C	|	40	|	4	|	A+	|
 Junko			|	B: Medium, Heavy	|	B: Medium	|	Yes	|	No	|	18	|	18	|	19	|	A	|	20	|	4	|	C	|
 Kagerou		|	E: V. slow, Light	|	C: Slow		|	No	|	Auto|	75	|	75	|	15	|	C	|	50	|	5	|	B	|
 Kaguya			|	B: Medium, Heavy	|	A: Fast		|	No	|	No	|	100	|	100	|	15	|	B	|	30	|	4	|	E	|
 Kanako			|	B: Medium, Heavy	|	B: Medium	|	No	|	No	|	20	|	40	|	15	|	B	|	20	|	5	|	B+	|
 Kasen			|	C: Slow, Heavy		|	B: Medium	|	Yes	|	No	|	27	|	27	|	17	|	B	|	20	|	5	|	A+	|
 Keiki			|	A: Fast, Heavy		|	A: Fast		|	Yes	|	No	|	16	|	16	|	18	|	B	|	25	|	5	|	C	|
 Keine			|	B: Medium, Heavy	|	B: Medium	|	No	|	No	|	56	|	56	|	16	|	B	|	40	|	5	|	C	|
 Kisume			|	B: Medium, Heavy	|	E: None!	|	No	|	Yes	|	180	|	180	|	14	|	D	|	70	|	3	|	B+	|
 Kogasa			|	A: Fast, Heavy		|	A: Fast		|	No	|	Yes	|	110	|	110	|	13	|	D	|	50	|	5	|	E	|
 Koishi			|	E: V. slow, Light	|	E: None!	|	No	|	No	|	25	|	30	|	13	|	B	|	200	|	3	|	B+	|
 Kokoro			|	B: Medium, Heavy	|	A: Fast		|	No	|	No	|	30	|	30	|	14	|	B	|	60	|	5	|	B+	|
 Komachi		|	C: Slow, Heavy		|	C: Slow		|	No	|	No	|	45	|	45	|	18	|	C	|	50	|	5	|	D	|
 Kosuzu			|	E: V. slow, Light	|	B: Medium	|	No	|	No	|	200	|	200	|	12	|	D	|	50	|	3	|	E!	|
 Kutaka			|	C: Slow, Heavy		|	B: Medium	|	No	|	No	|	55	|	55	|	15	|	B	|	50	|	4	|	D	|
 Kyouko			|	D: Slow, Light		|	D: V. slow	|	No	|	No	|	120	|	120	|	14	|	C	|	60	|	4	|	D	|
 Letty			|	D: Slow, Light		|	C: Slow		|	No	|	Yes	|	120	|	120	|	13	|	B	|	50	|	4	|	D	|
Librarian		|	B: Medium, Heavy	|	B: Medium	|	No	|	**	|	90	|	90	|	+4	|	B	|	60	|	5	|	D	|
 Lilywhite		|	D: Slow, Light		|	D: V. slow	|	No	|	Yes	|	240	|	192	|	10	|	B	|	80	|	5	|	E	|
 Lunachild		|	D: Slow, Light		|	C: Slow		|	No	|	Yes	|	200	|	200	|	10	|	B	|	60	|	4	|	E	|
 Lunasa			|	C: Slow, Heavy		|	C: Slow		|	No	|	Yes	|	50	|	50	|	10	|	B	|	40	|	4	|	D	|
 Lyrica			|	B: Medium, Heavy	|	B: Medium	|	No	|	Yes	|	50	|	50	|	10	|	B	|	50	|	5	|	C	|
Mage			|	E: V. slow, Light	|	A: Fast		|	Yes	|	**	|	85	|	102	|	+0	|	B	|	30	|	3	|	E	|
Magic-Eater		|	D: Slow, Light		|	A: Fast		|	Yes	|	**	|	80	|	64	|	+2	|	C	|	50	|	4	|	E	|
Magic-Knight	|	C: Slow, Heavy		|	C: Slow		|	No	|	**	|	75	|	75	|	+4	|	B	|	50	|	5	|	D	|
 Mai			|	B: Medium, Heavy	|	C: Slow		|	No	|	No	|	52	|	52	|	14	|	C	|	25	|	4	|	D	|
Maid/Butler		|	B: Medium, Heavy	|	B: Medium	|	No	|	**	|	85	|	85	|	+3	|	C	|	50	|	5	|	C	|
 Mamizou		|	B: Medium, Heavy	|	A: Fast		|	Yes	|	Yes	|	24	|	24	|	17	|	A	|	20	|	5	|	B+	|
 Marisa			|	E: V. slow, Light	|	A: Fast		|	Yes	|	No	|	10	|	10	|	14	|	A	|	30	|	4	|	B+	|
Marksman		|	B: Medium, Heavy	|	D: V. slow	|	No	|	**	|	80	|	80	|	+4	|	E	|	60	|	4	|	D	|
Martial-Artist	|	D: Slow, Light		|	E: None!	|	No	|	**	|	75	|	75	|	+4	|	E	|	80	|	5	|	A+	|
 Mayumi			|	A: Fast, Heavy		|	C: Slow		|	No	|	No	|	42	|	42	|	18	|	C	|	20	|	6	|	B	|
 Medicine		|	B: Medium, Heavy	|	B: Medium	|	No	|	Yes	|	63	|	76	|	14	|	B	|	50	|	4	|	C+	|
 Megumu			|	B: Medium, Heavy	|	B: Medium	|	Yes	|	No	|	32	|	32	|	15	|	B	|	30	|	5	|	C	|
 Meiling		|	C: Slow, Heavy		|	C: Slow		|	No	|	No	|	65	|	65	|	17	|	C	|	65	|	4	|	A+	|
 Merlin			|	E: V. slow, Light	|	E: None!	|	No	|	Yes	|	50	|	50	|	14	|	B	|	80	|	5	|	B	|
 Mike			|	C: Slow, Heavy		|	B: Medium	|	No	|	Yes	|	105	|	105	|	14	|	C	|	75	|	4	|	C	|
 Miko			|	A: Fast, Heavy		|	A: Fast		|	Yes	|	No	|	12	|	12	|	15	|	A	|	25	|	5	|	B+	|
 Mizuchi		|	C: Slow, Heavy		|	C: Slow		|	Yes	|	No	|	20	|	20	|	13	|	B	|	30	|	5	|	B+	|
Mindcrafter		|	B: Medium, Heavy	|	B: Medium	|	No	|	**	|	60	|	54	|	+3	|	B	|	30	|	3	|	B+	|
 Minamitsu		|	C: Slow, Heavy		|	C: Slow		|	No	|	No	|	65	|	65	|	16	|	C	|	40	|	5	|	B+	|
 Minoriko		|	D: Slow, Light		|	D: V. slow	|	No	|	No	|	120	|	120	|	13	|	B	|	60	|	3	|	E	|
 Misumaru		|	D: Slow, Light		|	A: Fast		|	No	|	No	|	40	|	60	|	14	|	B	|	70	|	3	|	E	|
 Miyoi			|	D: Slow, Light		|	D: V. slow	|	No	|	Yes	|	120	|	120	|	9	|	C	|	90	|	3	|	D+	|
 Mokou			|	B: Medium, Heavy	|	B: Medium	|	No	|	No	|	100	|	100	|	10	|	C	|	70	|	5	|	B+	|
 Momiji			|	B: Medium, Heavy	|	E: None!	|	No	|	No	|	80	|	46	|	15	|	D	|	50	|	5	|	C	|
 Momoyo			|	A: Fast, Heavy		|	C: Slow		|	No	|	No	|	15	|	15	|	25	|	A	|	40	|	6	|	A	|
 Mystia			|	D: Slow, Light		|	D: V. slow	|	No	|	Yes	|	100	|	100	|	14	|	B	|	40	|	5	|	B	|
 Narumi			|	B: Medium, Heavy	|	A: Fast		|	Yes	|	No	|	60	|	60	|	14	|	B	|	40	|	3	|	E	|
 Nazrin			|	B: Medium, Heavy	|	B: Medium	|	No	|	No	|	123	|	123	|	12	|	C	|	40	|	4	|	E	|
 Nemuno			|	B: Medium, Heavy	|	B: Medium	|	No	|	No	|	80	|	80	|	14	|	C	|	40	|	4	|	C	|
Ninja			|	B: Medium, Heavy	|	B: Medium	|	No	|	**	|	80	|	72	|	+2	|	C	|	90	|	4	|	A+	|
 Nitori			|	B: Medium, Heavy	|	D: V. slow	|	No	|	No	|	63	|	76	|	15	|	D	|	80	|	4	|	B+	|
 Nue			|	C: Slow, Heavy		|	A: Fast		|	Yes	|	No	|	24	|	24	|	18	|	B	|	40	|	5	|	B!	|
 Okina			|	A: Fast, Heavy		|	A: Fast		|	Yes	|	No	|	12	|	12	|	20	|	A	|	25	|	4	|	D	|
 Orin			|	C: Slow, Heavy		|	C: Slow		|	No	|	No	|	52	|	36	|	15	|	C	|	30	|	4	|	B+	|
Outsider		|	E: V. slow, Light	|	E: None!	|	No	|	No	|	300	|	300	|	+1	|	E	|	90	|	3	|	D	|
 Parsee			|	D: Slow, Light		|	D: V. slow	|	No	|	Yes	|	110	|	110	|	12	|	C	|	70	|	3	|	D	|
 Patchouli		|	E: V. slow, Light	|	A: Fast		|	Yes	|	No	|	40	|	48	|	8	|	A	|	15	|	3	|	E	|
 Raiko			|	B: Medium, Heavy	|	B: Medium	|	No	|	Yes	|	20	|	30	|	17	|	B	|	50	|	5	|	B+	|
 Ran			|	B: Medium, Heavy	|	B: Medium	|	Yes	|	No	|	48	|	29	|	16	|	B	|	25	|	5	|	B+	|
Ranger			|	C: Slow, Heavy		|	D: V. slow	|	No	|	**	|	70	|	70	|	+5	|	C	|	40	|	5	|	C	|
 Reimu			|	B: Medium, Heavy	|	B: Medium	|	Yes	|	No	|	10	|	10	|	16	|	B	|	40	|	4	|	B+	|
 Reisen2		|	D: Slow, Light		|	D: V. slow	|	No	|	No	|	120	|	120	|	14	|	D	|	50	|	4	|	D	|
 Remilia		|	C: Slow, Heavy		|	D: V. slow	|	No	|	No	|	16	|	16	|	24	|	B	|	30	|	6	|	A+	|
 Ringo			|	B: Medium, Heavy	|	B: Medium	|	No	|	No	|	63	|	50	|	13	|	B	|	40	|	5	|	B	|
 Rumia			|	D: Slow, Light		|	E: None!	|	No	|	Yes	|	150	|	150	|	14	|	D	|	50	|	4	|	B	|
 Sagume			|	B: Medium, Heavy	|	A: Fast		|	Yes	|	No	|	35	|	70	|	11	|	A	|	20	|	3	|	E	|
